id,name,alt,path
1,videoVTT,,System/videoVTT.vtt
2,Chicago-Is-Our-Campus-Loop-Draft-2,,Video/Chicago-Is-Our-Campus-Loop-Draft-2.mp4
3,chicago-vid-OPTIMIZED-TEST,,Video/chicago-vid-OPTIMIZED-TEST.mp4
4,Graduation-2019,,Video/Graduation-2019.mp4
5,new-current-student-section-intro,,Video/new-current-student-section-intro.mp4
6,Rescaled,,Video/Rescaled.mp4
7,video,,Video/video.mp4
