id,name,alt,path
1096,dcapshaw,Reed Capshaw,Images/Faculty/dcapshaw.jpg
1097,dcelinsk,Dorota Celinska,Images/Faculty/dcelinsk.jpg
1098,dcooney,Dan Cooney,Images/Faculty/dcooney.jpg
1099,dcryer,Daniel Cryer,Images/Faculty/dcryer.jpg
1100,dfaris,David Faris,Images/Faculty/dfaris.jpg
1101,dfield,Diane Field,Images/Faculty/dfield.jpg
1102,dfrank,Dennis Frank,Images/Faculty/dfrank.jpg
1103,dgrew,Douglas Grew,Images/Faculty/dgrew.jpg
1104,dgriffin,David Griffin,Images/Faculty/dgriffin.jpg
1105,dharder,Dennis Harder,Images/Faculty/dharder.jpg
1106,dhealy01,Dan Healy,Images/Faculty/dhealy01.jpg
1107,dhoffman04,David Hoffman,Images/Faculty/dhoffman04.jpg
1108,dhoppa,Donald Hoppa,Images/Faculty/dhoppa.jpg
1109,djones,David Jones,Images/Faculty/djones.jpg
1110,dkersnar,David Kersnar,Images/Faculty/dkersnar.jpg
1111,dkjar,David Kjar,Images/Faculty/dkjar.jpg
1112,dlbrown,Dana Brown,Images/Faculty/dlbrown.jpg
1113,dlichtenstein,Dale Lichtenstein,Images/Faculty/dlichtenstein.jpg
1114,dmahoney,Dan Mahoney,Images/Faculty/dmahoney.jpg
1115,dmajerczyk,Daniel Majerczyk,Images/Faculty/dmajerczyk.jpg
1116,dmichel,Dennis Michel,Images/Faculty/dmichel.jpg
1117,dorr,Deb Orr,Images/Faculty/dorr.jpg
1118,dschrade,David Schrader,Images/Faculty/dschrade.jpg
1119,dsnead,David Snead,Images/Faculty/dsnead.jpg
1120,dstetzel,Daniel Stetzel,Images/Faculty/dstetzel.jpg
1121,dtaylor22,David Taylor,Images/Faculty/dtaylor22.jpg
1122,dtemple,Dennis Temple,Images/Faculty/dtemple.jpg
1123,dtucker,Dennis Tucker,Images/Faculty/dtucker.jpg
1124,durbina,Danielle Urbina,Images/Faculty/durbina.jpg
1125,dveliceasa,Dorina Veliceasa,Images/Faculty/dveliceasa.jpg
1126,dvickerman,Daniel Vickerman,Images/Faculty/dvickerman.jpg
1127,dwuersig,David Wuersig,Images/Faculty/dwuersig.jpg
1128,eandrizzi,Emanuele Andrizzi,Images/Faculty/eandrizzi.jpg
1129,easher,Elizabeth Byrne,Images/Faculty/easher.jpg
1130,eauer01,Edward Auer,Images/Faculty/eauer01.jpg
1131,eberkowitz,Eric Berkowitz,Images/Faculty/eberkowitz.jpg
1132,eberman,Ernest Berman,Images/Faculty/eberman.jpg
1133,eboone,Elizabeth Boone,Images/Faculty/eboone.jpg
1134,ebremer,Eric Bremer,Images/Faculty/ebremer.jpg
1135,edangremond,Emily Dangremond,Images/Faculty/edangremond.jpg
1136,edantsin,Evgeny Dantsin,Images/Faculty/edantsin.jpg
1137,egellman,Erik Gellman,Images/Faculty/egellman.jpg
1138,egerstein,Emma Gerstein,Images/Faculty/egerstein.jpg
1139,egreen09,"Edward Green, Ph.D.",Images/Faculty/egreen09.jpg
1140,ehammon,Elizabeth Hammon,Images/Faculty/ehammon.jpg
1141,eharrison,Edward Harrison,Images/Faculty/eharrison.jpg
1142,emackinney,Erin Mackinney,Images/Faculty/emackinney.jpg
1143,emeadows,Elizabeth Meadows,Images/Faculty/emeadows.jpg
1144,emoliner,Eugenia Moliner,Images/Faculty/emoliner.jpg
1145,eobrien,Ellen O'Brien,Images/Faculty/eobrien.jpg
1146,ericks01,Elijah Ricks,Images/Faculty/ericks01.jpg
1147,erossini,Edward Rossini,Images/Faculty/erossini.jpg
1148,eschweitzer,Erica Schweitzer,Images/Faculty/eschweitzer.jpg
1149,eshepard,Ellen Shepard,Images/Faculty/eshepard.jpg
1150,ethompson,Elena Thompson,Images/Faculty/ethompson.jpg
1151,ethompson10,Elena Thompson,Images/Faculty/ethompson10.jpg
1152,ewenzel,Erik Wenzel,Images/Faculty/ewenzel.jpg
1153,ewygonik,Ed Wygonik,Images/Faculty/ewygonik.jpg
1154,falletto,Frank Alletto,Images/Faculty/falletto.jpg
1155,falmond,Frank Almond,Images/Faculty/falmond.jpg
1156,frogacze,Frank Rogaczewski,Images/Faculty/frogacze.jpg
1157,fsimon,Fred Simon,Images/Faculty/fsimon.jpg
1158,gbain,Gary Bain,Images/Faculty/gbain.jpg
1159,gbober,Gerald Bober,Images/Faculty/gbober.jpg
1160,gbouey,Gerald Bouey,Images/Faculty/gbouey.jpg
1161,gbouey,Gerry Bouey,Images/Faculty/gbouey.jpg
1162,gcowen,Gary Cowen,Images/Faculty/gcowen.jpg
1163,gdiponio,Gina DiPonio,Images/Faculty/gdiponio.jpg
1164,gdispigno,Guy DiSpigno,Images/Faculty/gdispigno.jpg
1165,geng,Gretchen Eng,Images/Faculty/geng.jpg
1166,gflint,Greg Flint,Images/Faculty/gflint.jpg
1167,ggelman,Glenn Gelman,Images/Faculty/ggelman.jpg
1168,ghamburg,Gail Hamburg,Images/Faculty/ghamburg.jpg
1169,ghanta,Gabi Hanta,Images/Faculty/ghanta.jpg
1170,ghauser,Gregory Hauser,Images/Faculty/ghauser.jpg
1171,glanger,Gary Langer,Images/Faculty/glanger.jpg
1172,gpickren,Graham Pickren,Images/Faculty/gpickren.jpg
1173,gpokorny,John Pokorny,Images/Faculty/gpokorny.jpg
1174,gpost,Gerald Post,Images/Faculty/gpost.jpg
1175,graffagna-41,Gina Graffagna,Images/Faculty/graffagna-41.jpg
1176,gsarhan,,Images/Faculty/gsarhan.jpg
1177,gsarhan,Ghazi Sarhan,Images/Faculty/gsarhan.jpg
1178,gsmith,Gregory Smith,Images/Faculty/gsmith.jpg
1179,gvaidyanathan,Ganesh Vaidyanathan,Images/Faculty/gvaidyanathan.jpg
1180,habukhadra,Husam Abu Khadra,Images/Faculty/habukhadra.jpg
1181,hbarnett,Harold Barnett,Images/Faculty/hbarnett.jpg
1182,hdalmage,Heather Dalmage,Images/Faculty/hdalmage.jpg
1183,hdatte,Hippolyte Datte,Images/Faculty/hdatte.jpg
1184,hfogel,Henry Fogel,Images/Faculty/hfogel.jpg
1185,hjohnson,Henry Johnson,Images/Faculty/hjohnson.jpg
1186,hpowell01,H Powell,Images/Faculty/hpowell01.jpg
1187,hsass,Howard Sass,Images/Faculty/hsass.jpg
1188,hsilverman,Henry Silverman,Images/Faculty/hsilverman.jpg
1189,htruax,Heidi Truax,Images/Faculty/htruax.jpg
1190,hwittels,Heather Wittels,Images/Faculty/hwittels.jpg
1191,ichoi,Inhe Choi,Images/Faculty/ichoi.jpg
1192,ifedotov,Igor Fedotov,Images/Faculty/ifedotov.jpg
1193,ImageNotAvailable,Image Not Available,Images/Faculty/ImageNotAvailable.jpg
1194,jadams32,Jeff Adams,Images/Faculty/jadams32.jpg
1195,jalegro,Jason Alegro,Images/Faculty/jalegro.jpg
1196,James Redlich,James Redlich,Images/Faculty/James Redlich.jpg
1197,jboen,Jonathan Boen,Images/Faculty/jboen.jpg
1198,jbone,Jan Bone,Images/Faculty/jbone.jpg
1199,jbramson,Jeff Bramson,Images/Faculty/jbramson.jpg
1200,jburlingame01,Jill Burlingame-Tsekouras,Images/Faculty/jburlingame01.jpg
1201,jchan,Joe Chan,Images/Faculty/jchan.jpg
1202,jchoca,James Choca,Images/Faculty/jchoca.jpg
1203,jcicarel,James Cicarelli,Images/Faculty/jcicarel.jpg
1204,jclark,Jennifer Clark,Images/Faculty/jclark.jpg
1205,jcoleman,Jill Coleman,Images/Faculty/jcoleman.jpg
1206,jcurtis,Jane Curtis,Images/Faculty/jcurtis.jpg
1207,jdeuling,Jacqueline Deuling,Images/Faculty/jdeuling.jpeg
1208,jdygdon,Judith Dygdon,Images/Faculty/jdygdon.jpg
1209,jfedorko,Joseph Fedorko,Images/Faculty/jfedorko.jpg
1210,jfine,James Fine,Images/Faculty/jfine.jpg
